lineId,from,to,distance
271,501855,501900,654.0886601792357
271,501900,517006,501.4912198564445
271,517006,517213,224.57322370871185
271,517213,511316,315.3975413356177
271,511316,511312,472.21940446192065
271,511312,511310,275.67820517126785
271,511310,516231,236.6137374221209
271,516231,516232,197.2338885804615
271,516232,516167,314.8519664790998
271,516167,516251,493.0909170763699
271,516251,516252,208.49714242936028
271,516252,511424,459.23838637746195
271,511424,511425,606.8508755445497
271,511425,511426,250.9282721922937
271,511426,511242,340.81098146570804
271,511242,511427,409.31034688205244
271,511427,511428,206.0494317463839
271,511428,511098,214.23556746843846
271,511098,511099,250.26331660884205
271,511099,511468,241.38488745756044
271,511468,511090,318.64434669490646
271,511090,511106,250.97068432458107
271,511106,511469,218.80462528415748
271,511469,511489,190.05123536953184
271,511489,511490,435.5098173997865
271,511490,511491,179.54122548487805
271,511491,511230,305.022610659917
271,511230,511416,237.5622361760109
271,511416,511417,279.50680471690436
271,511417,511484,284.7067476380206
271,511484,511408,269.6587196925531
271,511408,511100,144.848163078848
271,511100,511223,76.51674664642391
271,511223,511319,340.60363331230343
271,511319,511321,264.89532942208297
271,511321,511323,286.5636095616892
271,511323,511419,295.86358227115153
271,511419,511420,253.1645236556246
271,511420,511421,455.3431828660237
271,511421,511422,187.28852758618143
271,511422,511423,322.97278348791355
271,511423,511109,577.6915677649922
271,511109,516184,526.1551991256376
271,516184,516250,264.9741286852257
271,516250,516146,245.24544358742463
271,516146,516128,467.7443362645007
271,516128,511309,476.65603679978096
271,511309,511311,259.0927269878182
271,511311,511313,236.51941308091776
271,511313,511315,221.26075269237296
271,511315,517212,305.4512855767014
271,517212,516233,407.20314645100365
271,516233,517178,208.33450169617808
271,517178,501901,166.65657347383902
271,501901,501851,531.7497297133409
271,501851,601851,0.0
271,601851,601855,83.86353793380704
271,601855,501855,10.53000798010173
271,501855,501851,93.87906613396045
271,501851,601851,0.0
271,601851,600050,154.83945212540314
271,600050,500050,0.0
271,500050,511098,5037.154738983049
271,511098,511099,250.26331660884205
271,511099,511468,241.38488745756044
271,511468,511090,318.64434669490646
271,511090,511106,250.97068432458107
271,511106,511469,218.80462528415748
271,511469,511489,190.05123536953184
271,511489,511490,435.5098173997865
271,511490,511491,179.54122548487805
271,511491,511230,305.022610659917
271,511230,511416,237.5622361760109
271,511416,511417,279.50680471690436
271,511417,511484,284.7067476380206
271,511484,511408,269.6587196925531
271,511408,511100,144.848163078848
271,511100,511223,76.51674664642391
271,511223,511319,340.60363331230343
271,511319,511321,264.89532942208297
271,511321,511323,286.5636095616892
272,502100,511235,475.09315279888983
272,511235,511243,580.8261343358214
272,511243,516254,35.33145997476305
272,516254,516052,333.66039850088475
272,516052,516054,293.6274922667528
272,516054,516177,327.8156535537578
272,516177,516056,259.3394567768684
272,516056,516058,442.26005498577535
272,516058,516060,347.7019995888373
272,516060,516062,310.10920046349844
272,516062,516064,302.54328916408184
272,516064,516065,308.0869656714573
272,516065,516067,196.17647676366482
272,516067,516070,366.5554046589316
272,516070,516072,358.36760397270564
272,516072,516074,453.6974869192462
272,516074,516076,317.2664690145356
272,516076,516079,381.1171584932711
272,516079,519022,381.76226582226883
272,519022,519290,310.33024463306646
272,519290,519026,311.36299339342685
272,519026,501405,486.7518700614963
272,501405,501452,209.03579626592307
272,501452,501502,601.0282764017026
272,501502,501552,635.4502758548693
272,501552,500603,246.8323164807848
272,500603,502401,914.7747894186156
272,502401,512206,316.1177828749501
272,512206,512021,475.2751766638545
272,512021,512054,236.17829362296513
272,512054,512055,284.3089696208236
272,512055,513016,393.05618166276344
272,513016,513270,420.07144711446136
272,513270,512040,522.9826964518609
272,512040,512207,356.30078907799816
272,512207,512123,359.7619400317637
272,512123,513264,259.6963447986514
272,513264,513263,40.389255823836876
272,513263,512117,553.085623089907
272,512117,513267,478.347280084087
272,513267,513269,436.8868325498941
272,513269,513015,377.72533224439707
272,513015,512037,401.3665109806408
272,512037,512056,157.23857522686365
272,512056,512195,296.4187118593204
272,512195,512057,207.14209205279423
272,512057,502400,501.26820073634764
272,502400,500600,914.5218745198528
272,500600,500800,521.0246103606072
272,500800,500900,601.7253979063106
272,500900,500952,470.68827164174047
272,500952,519025,548.0807548868473
272,519025,519142,325.10094117235155
272,519142,519021,251.81507867607357
272,519021,516078,417.64965078200544
272,516078,516235,222.5923601777903
272,516235,516077,285.11449399388204
272,516077,516073,241.5267134247425
272,516073,516071,269.742578272174
272,516071,516069,457.2549559735584
272,516069,516068,322.214892527169
272,516068,516066,236.78019622168617
272,516066,516063,270.83001317866655
272,516063,516061,301.5320637426522
272,516061,511313,235.90286864203046
272,511313,511315,221.26075269237296
272,511315,517212,305.4512855767014
272,517212,516233,407.20314645100365
272,516233,501950,566.7823021017153
272,501950,502000,557.1803384003329
272,502000,502050,485.87765953852085
272,502050,502100,671.9965029234808
272,502100,512037,9641.786884443583
272,512037,512056,157.23857522686365
272,512056,512195,296.4187118593204
272,512195,512057,207.14209205279423
272,512057,502400,501.26820073634764
272,502400,500600,914.5218745198528
272,500600,500800,521.0246103606072
272,500800,500900,601.7253979063106
272,500900,500952,470.68827164174047
272,500952,519025,548.0807548868473
272,519025,519142,325.10094117235155
272,519142,519021,251.81507867607357
272,519021,516078,417.64965078200544
272,516078,516235,222.5923601777903
272,516235,516077,285.11449399388204
272,516077,516073,241.5267134247425
272,516073,516071,269.742578272174
272,516071,516069,457.2549559735584
272,516069,516068,322.214892527169
272,516068,516066,236.78019622168617
272,516066,516063,270.83001317866655
272,516063,516061,301.5320637426522
272,516061,511313,235.90286864203046
272,511313,511315,221.26075269237296
272,511315,517212,305.4512855767014
272,517212,516233,407.20314645100365
272,516233,501950,566.7823021017153
272,501950,502000,557.1803384003329
272,502000,502050,485.87765953852085
272,502050,502100,671.9965029234808
3351,513238,513239,253.14707714564773
3351,513239,513240,256.5820987276498
3351,513240,513241,194.24413619835235
3351,513241,513242,165.24769765099714
3351,513242,513243,256.06468916403236
3351,513243,513244,245.21361318293776
3351,513244,513245,332.21660677116216
3351,513245,504007,797.9792852762671
3351,504007,513237,786.6049918117267
3351,513237,513238,288.0777788601192
3351,513238,513239,253.14707714564773
3351,513239,513240,256.5820987276498
3351,513240,513241,194.24413619835235
3351,513241,513242,165.24769765099714
3351,513242,513243,256.06468916403236
3351,513243,513244,245.21361318293776
3351,513244,513245,332.21660677116216
